,team_number,auto_hco,auto_hcu,auto_mco,auto_mcu,auto_lp,teleop_hco,teleop_hcu,teleop_mco,teleop_mcu,teleop_lp
34,-4499,0.0,0.16666666666666666,0.4166666666666667,0.0,0.0,0.08333333333333333,1.5833333333333333,3.6666666666666665,0.0,0.0
35,-51,0.0,0.0,1.25,0.75,0.0,2.3333333333333335,1.4166666666666667,1.25,0.75,0.0
36,-5940,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,2.5,0.0,0.0,0.16666666666666666
37,-6036,0.0,0.6666666666666666,0.0,0.0,1.5,0.0,1.9166666666666667,0.0,0.0,1.5
38,-604,0.0,0.0,0.5,0.5833333333333334,0.0,1.75,0.5833333333333334,0.5,0.5833333333333334,0.0
39,-624,0.5,0.0,0.4166666666666667,0.0,0.0,4.416666666666667,0.0,0.4166666666666667,0.0,0.0
40,-6800,1.25,0.6666666666666666,0.0,0.0,0.0,3.25,1.8333333333333333,0.0,0.0,0.0
41,-696,0.0,0.0,0.0,0.0,0.0,1.0,1.0833333333333333,0.0,0.0,0.0
42,-7157,0.0,0.16666666666666666,0.4166666666666667,0.0,0.0,0.08333333333333333,1.6666666666666667,3.4166666666666665,0.0,0.0
43,-8,0.0,0.0,1.0,0.5,0.0,2.4166666666666665,1.4166666666666667,1.0,0.5,0.0
44,-88,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.0,0.0,0.0
45,-9138,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.0,0.0,0.0
46,-971,1.0,0.6666666666666666,0.0,0.0,0.0,3.3333333333333335,2.6666666666666665,0.0,0.0,0.0
47,-972,0.0,0.5833333333333334,0.0,0.08333333333333333,0.0,0.0,2.0833333333333335,0.0,0.08333333333333333,0.0
48,-973,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.0,0.0,0.08333333333333333,1.8333333333333333
49,-9999,0.0,0.0,0.0,0.0,0.5833333333333334,2.6666666666666665,0.0,0.0,0.0,0.5833333333333334
